list,manufacturer,model,voltage_option,hybrid,ul1741_sb,ul1741_sa,max_continuous_output_kw,nominal_vac
solar,ABB,PVI-3.0-OUTD-S-US-A,208V,N,N,Y,3,208
solar,ABB,PVI-3.0-OUTD-S-US-A,240V,N,N,Y,3,240
solar,ABB,PVI-3.0-OUTD-S-US-A,277V,N,N,Y,3,277
solar,ABB,PVI-3.0-OUTD-S-US-Z-A,208V,N,N,Y,3,208
solar,ABB,PVI-3.0-OUTD-S-US-Z-A,240V,N,N,Y,3,240
solar,ABB,PVI-3.0-OUTD-S-US-Z-A,277V,N,N,Y,3,277
solar,ABB,PVI-3.0-OUTD-S-US-Z-M-A,208V,N,N,Y,3,208
solar,ABB,PVI-3.0-OUTD-S-US-Z-M-A,240V,N,N,Y,3,240
solar,ABB,PVI-3.0-OUTD-S-US-Z-M-A,277V,N,N,Y,3,277
solar,ABB,UNO-DM-3.3-TL-PLUS-US-SB-RA,208V,N,N,Y,3,208
solar,ABB,UNO-DM-3.3-TL-PLUS-US-SB-RA-Q,208V,N,N,Y,3,208
solar,ABB,UNO-DM-3.3-TL-PLUS-US-SE-RA,208V,N,N,Y,3,208
solar,ABB,UNO-DM-3.3-TL-PLUS-US-SZM-RA,208V,N,N,Y,3,208
solar,ABB,UNO-DM-3.3-TL-PLUS-US-SZ-RA,208V,N,N,Y,3,208
solar,ABB,UNO-DM-3.3-TL-PLUS-US-SB-RA,240V,N,N,Y,3.3,240
solar,ABB,UNO-DM-3.3-TL-PLUS-US-SB-RA-Q,240V,N,N,Y,3.3,240
solar,ABB,UNO-DM-3.3-TL-PLUS-US-SE-RA,240V,N,N,Y,3.3,240
solar,ABB,UNO-DM-3.3-TL-PLUS-US-SZM-RA,240V,N,N,Y,3.3,240
solar,ABB,UNO-DM-3.3-TL-PLUS-US-SZ-RA,240V,N,N,Y,3.3,240
solar,ABB,UNO-DM-3.8-TL-PLUS-US-SB-RA,208V,N,N,Y,3.3,208
solar,ABB,UNO-DM-3.8-TL-PLUS-US-SB-RA-Q,208V,N,N,Y,3.3,208
solar,ABB,UNO-DM-3.8-TL-PLUS-US-SE-RA,208V,N,N,Y,3.3,208
solar,ABB,UNO-DM-3.8-TL-PLUS-US-SZM-RA,208V,N,N,Y,3.3,208
solar,ABB,UNO-DM-3.8-TL-PLUS-US-SZ-RA,208V,N,N,Y,3.3,208
solar,ABB,PVI-3.6-OUTD-S-US-A,208V,N,N,Y,3.6,208
solar,ABB,PVI-3.6-OUTD-S-US-A,240V,N,N,Y,3.6,240
solar,ABB,PVI-3.6-OUTD-S-US-A,277V,N,N,Y,3.6,277
solar,ABB,PVI-3.6-OUTD-S-US-Z-A,208V,N,N,Y,3.6,208
solar,ABB,PVI-3.6-OUTD-S-US-Z-A,240V,N,N,Y,3.6,240
solar,ABB,PVI-3.6-OUTD-S-US-Z-A,277V,N,N,Y,3.6,277
solar,ABB,PVI-3.6-OUTD-S-US-Z-M-A,208V,N,N,Y,3.6,208
solar,ABB,PVI-3.6-OUTD-S-US-Z-M-A,240V,N,N,Y,3.6,240
solar,ABB,PVI-3.6-OUTD-S-US-Z-M-A,277V,N,N,Y,3.6,277
solar,ABB,PVI-3.8-OUTD-S-US-A,208V,N,N,Y,3.8,208
solar,ABB,PVI-3.8-OUTD-S-US-A,240V,N,N,Y,3.8,240
solar,ABB,PVI-3.8-OUTD-S-US-A,277V,N,N,Y,3.8,277
solar,ABB,PVI-3.8-OUTD-S-US-Z-A,208V,N,N,Y,3.8,208
solar,ABB,PVI-3.8-OUTD-S-US-Z-A,240V,N,N,Y,3.8,240
solar,ABB,PVI-3.8-OUTD-S-US-Z-A,277V,N,N,Y,3.8,277
solar,ABB,PVI-3.8-OUTD-S-US-Z-M-A,208V,N,N,Y,3.8,208
solar,ABB,PVI-3.8-OUTD-S-US-Z-M-A,240V,N,N,Y,3.8,240
solar,ABB,PVI-3.8-OUTD-S-US-Z-M-A,277V,N,N,Y,3.8,277
solar,ABB,UNO-DM-3.8-TL-PLUS-US-SB-RA,240V,N,N,Y,3.8,240
solar,ABB,UNO-DM-3.8-TL-PLUS-US-SB-RA-Q,240V,N,N,Y,3.8,240
solar,ABB,UNO-DM-3.8-TL-PLUS-US-SE-RA,240V,N,N,Y,3.8,240
solar,ABB,UNO-DM-3.8-TL-PLUS-US-SZM-RA,240V,N,N,Y,3.8,240
solar,ABB,UNO-DM-3.8-TL-PLUS-US-SZ-RA,240V,N,N,Y,3.8,240
